,"市盈率PE(TTM)
[单位] 倍",,,,,,,,,
时间,全指公用,全指能源,全指材料,全指工业,全指可选,全指消费,全指医药,全指金融,全指信息,全指电信
2018/11/19,19.7764,14.553,13.5798,18.538,16.6976,23.9206,28.2586,8.251,33.7326,69.9348
2018/11/16,19.5821,14.4277,13.4909,18.4263,16.653,23.7274,28.207,8.1148,33.8586,70.3096
2018/11/15,19.4669,14.4243,13.4622,18.2913,16.5024,23.6595,28.3503,8.0706,33.4539,69.2464
2018/11/14,19.2452,14.324,13.3182,18.018,16.3229,23.4528,28.097,7.9605,32.6225,67.8109
2018/11/13,19.3214,14.6777,13.357,18.0364,16.4198,23.8248,28.2046,8.0505,32.7422,68.2797
2018/11/12,19.1407,14.7218,13.1867,17.8037,16.1315,23.2761,27.8162,7.9928,32.3556,68.0074
2018/11/9,18.7837,14.6736,12.9466,17.4223,15.7776,23.1739,27.2404,7.9509,31.2092,66.1053
2018/11/8,19.0476,14.9119,13.0589,17.5068,15.8802,23.3648,27.4293,8.1511,31.2229,65.1514
2018/11/7,19.0723,14.8364,13.1774,17.6318,15.9165,23.3248,27.4724,8.1431,31.6306,65.9929
2018/11/6,19.1391,15.0672,13.2235,17.7311,16.0042,23.303,27.5426,8.2024,31.801,65.4375
2018/11/5,19.1992,14.9905,13.273,17.7821,16.114,23.4722,27.4867,8.2341,31.9394,65.368
2018/11/2,19.138,14.981,13.3059,17.7444,16.1162,23.908,27.5935,8.3138,31.9668,65.4175
2018/11/1,18.8333,14.7791,12.9203,17.2259,15.5755,22.7637,26.4678,8.1408,30.6655,63.0743
2018/10/31,18.8739,14.9242,12.8783,17.0912,15.4117,22.4274,26.2638,8.1675,30.0974,62.5968
2018/10/30,18.6456,16.5245,12.5433,16.5569,15.2379,21.6585,25.5333,8.1759,29.4844,62.5033
2018/10/29,18.8631,16.5022,12.5835,16.3999,14.9589,22.0119,24.6754,8.0371,28.6748,63.3416
2018/10/26,19,16.6855,12.7943,16.4837,15.4446,23.979,25.3513,8.2405,28.8598,64.0362
2018/10/25,18.8414,16.6549,12.8137,16.4601,15.4357,24.3637,24.9259,8.2305,28.8438,58.881
2018/10/24,18.8514,16.7117,13.1073,16.5786,15.522,24.951,25.0443,8.1082,29.3005,59.0844
2018/10/23,18.1859,16.9606,13.0934,16.5902,15.5619,25.3324,25.3343,7.9793,29.5515,59.1848
2018/10/22,18.6133,17.36,13.4356,16.8505,15.8586,26.6219,25.8758,8.1718,30.385,62.8691
2018/10/19,18.0025,16.8747,12.891,16.1896,15.231,25.5442,24.7678,7.8605,29.1546,59.8786
2018/10/18,17.7368,16.6277,12.6696,15.8713,14.9301,24.7307,24.2325,7.5983,28.2125,58.1375
2018/10/17,18.2099,17.7276,13.1565,16.3755,15.2567,25.3626,25.058,7.7447,28.8117,60.1262
2018/10/16,17.9593,17.5828,13.1099,16.2308,15.1493,25.4683,25.1901,7.7086,28.2176,59.0696
2018/10/15,18.0525,17.5149,13.4746,16.5021,15.3996,25.7245,25.8042,7.6978,29.0147,60.1086
2018/10/12,18.2254,17.768,13.7404,16.7149,15.7447,26.1435,26.1063,7.8096,29.333,60.2941
2018/10/11,18.3333,17.5088,13.6659,16.6892,15.7551,25.5653,25.9124,7.6664,29.4013,60.1549
2018/10/10,19.2491,18.452,14.5567,17.8301,16.6909,26.7103,27.3097,8.0035,31.861,65.7011
2018/10/9,19.2379,18.2808,14.5021,17.7227,16.75,27.2236,27.5124,7.9833,31.8281,65.6994
2018/10/8,19.3474,17.7394,14.4175,17.7799,16.7593,27.0663,27.6132,8.0116,32.0782,65.8157
2018/9/28,19.7761,18.4443,14.8709,18.3632,17.4488,28.4145,28.7676,8.3327,33.7425,69.3142
2018/9/27,19.7241,18.309,14.7314,18.1817,17.1796,28.1961,28.4792,8.2361,33.4992,68.9712
2018/9/26,19.6586,18.2626,14.8606,18.3786,17.3739,28.2787,28.4135,8.2649,34.2269,70.5027
2018/9/25,19.706,17.9571,14.7775,18.2752,17.3045,27.4961,28.08,8.2033,34.0639,69.9969
2018/9/21,19.7146,17.9497,14.8405,18.3614,17.3437,27.6067,28.0653,8.3213,34.2059,70.0354
2018/9/20,19.5513,17.8655,14.5749,18.0679,16.929,26.7635,27.5148,7.9965,33.678,69.0034
2018/9/19,19.5567,17.9012,14.5252,18.1088,16.9569,26.8015,27.6471,7.978,33.8401,69.3335
2018/9/18,19.4704,17.4268,14.4031,17.9401,16.7204,26.2706,27.2921,7.8895,33.4975,68.9329
2018/9/17,19.2478,17.325,14.0523,17.4908,16.5126,25.7118,26.7671,7.7697,32.9069,68.2436
2018/9/14,19.2633,17.4168,14.3511,17.7271,16.7718,25.7863,27.3532,7.838,33.4099,69.3125
2018/9/13,19.2882,17.3422,14.3535,17.8173,16.7222,25.5469,27.6823,7.8371,34.1181,70.5985
2018/9/12,19.0748,16.9271,14.2123,17.626,16.6013,25.4579,28.0185,7.7245,33.7316,68.8601
2018/9/11,19.0001,16.9746,14.1946,17.5994,16.6078,25.8693,28.5371,7.7498,34.0669,69.54
2018/9/10,19.0011,16.9352,14.374,17.5551,16.622,25.8015,28.43,7.7875,33.8349,68.663
2018/9/7,19.0944,16.9797,14.683,17.8335,16.8818,26.0683,28.8743,7.8445,35.0132,71.0112
2018/9/6,19.1353,16.8749,14.6105,17.7585,16.8095,25.8032,28.5287,7.8061,35.6243,72.3268
2018/9/5,19.1166,16.8422,14.731,17.881,16.9771,26.3019,28.8234,7.8635,35.5179,71.8079
2018/9/4,19.3346,17.093,15.0328,18.1479,17.2956,26.7589,29.2489,8.0406,36.0543,72.0413
2018/9/3,19.4586,16.8333,14.9222,17.9563,17.1338,26.4874,29.0429,7.9542,35.3074,71.1817
